,Unnamed: 0,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge,signal_percent
227,227,315,315,Kepler-76 b,Confirmed,2.01,0.35,0.37,,,,1.36,0.12,0.12,1.5449298,4e-07,4e-07,0.0274,0.0019,0.002,,,,77.55,0.17,0.2,,2013.0,2021-02-05,,,,,,,2454966.54841,2e-05,1e-05,2454966.54811,7e-05,7e-05,,,,,,,0.9623,0.0049,0.004,,,,306.0,20.0,20.0,2140.0,40.0,40.0,,,,,,,Published in a refereed paper,Default,,,"2MASS J19364610+3937084 b, K01658.01, KIC 4570949 b, KOI-1658 b, KOI-1658.01, WISE J193646.10+393708.3  b",,Kepler-76,294.192118,39.619003,14.0,,12.343,12.134,,842.87,10.73,10.73,-0.1,0.2,0.2,1.2,0.2,0.2,1.32,0.08,0.08,F,,,,6409.0,95.0,95.0,,,"2MASS J19364610+3937084, KIC 4570949, KOI-1658, WISE J193646.10+393708.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.012415902481707725
229,229,317,317,Kepler-77 b,Confirmed,0.43,0.032,0.032,,,,0.96,0.016,0.016,3.57878087,2.3e-07,2.3e-07,0.04501,0.00063,0.00063,0.0,,,88.0,0.11,0.11,,2013.0,2021-02-05,,,,,,,2455095.865727,2.9e-05,2.9e-05,2455095.865727,2.9e-05,2.9e-05,,,,,,,0.341,0.017,0.017,,,,59.2,4.3,4.3,1440.0,120.0,100.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19182590+4420435 b, K00127.01, KIC 8359498 b, KOI-127 b, KOI-127.01, WISE J191825.91+442043.5  b",,Kepler-77,289.607956,44.345425,15.0,,12.758,12.444,,570.0,70.0,70.0,0.2,0.05,0.05,0.95,0.04,0.04,0.99,0.02,0.02,G5 V,7.5,2.0,2.0,5520.0,60.0,60.0,,,"2MASS J19182590+4420435, KIC 8359498, KOI-127, WISE J191825.91+442043.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0211193503456574
231,231,319,319,Kepler-8 b,Confirmed,0.59,0.12,0.13,,,,1.416,0.062,0.053,3.5224991,7e-07,7e-07,0.0474,0.0021,0.0018,0.0,,,83.978,0.033,0.036,3.6e-05,2010.0,2021-02-05,,,,,,,2454954.11931,2e-05,2e-05,2454954.1182,0.0004,0.0004,,,,,,,0.7191,0.0023,0.0021,,,,68.4,12.0,12.0,1680.0,40.0,40.0,,,0.11,0.03,0.03,,Announced on a professional conference,Primary Transit,,,"2MASS J18450914+4227038 b, K00010.01, KIC 6922244 b, KOI-10 b, KOI-10.01, WISE J184509.14+422703.9  b",,Kepler-8,281.288118,42.45108,13.9,,12.576,12.324,,1052.9,15.36,15.36,-0.055,0.03,0.03,1.21,0.06,0.07,1.49,0.06,0.05,,3.84,1.5,1.5,6213.0,150.0,150.0,,,"2MASS J18450914+4227038, KIC 6922244, KOI-10, WISE J184509.14+422703.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.02934094250520996
238,238,326,326,Kepler-91 b,Confirmed,0.81,0.17,0.18,,,,1.367,0.06,0.069,6.24658,8.2e-05,8.2e-05,0.0731,0.0031,0.0034,0.066,0.017,0.013,69.68,0.57,0.67,,2013.0,2021-02-05,316.8,74.0,21.0,,,,2454969.3958,0.0002,0.0002,,,,,,,,,,0.8667,0.0105,0.0077,,,,70.0,11.0,11.0,2040.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19024148+4407002 b, K02133.01, KIC 8219268 b, KOI-2133 b, KOI-2133.01, WISE J190241.49+440700.3 b",,Kepler-91,285.672872,44.116734,12.9,,10.79,10.235,,1344.56,43.59,43.59,0.11,0.07,0.07,1.31,0.1,0.1,6.3,0.16,0.16,K3,4.86,2.13,2.13,4550.0,75.0,75.0,,,"2MASS J19024148+4407002, KIC 8219268, KOI-2133, WISE J190241.49+440700.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0013042653017790679
239,239,327,327,MASCARA-1 b,Confirmed,3.7,0.9,0.9,,,,1.5,0.3,0.3,2.14878,8e-06,8e-06,0.043,0.005,0.005,0.0,,,87.0,3.0,2.0,,2017.0,2019-07-01,,,,,,,,,,2457097.278,0.002,0.002,,,,69.5,3.0,3.0,0.2,0.1,0.1,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 201585 b,,MASCARA-1,317.551551671,10.7388750191,8.3,,,,,188.7,10.7,10.7,0.0,,,1.72,0.07,0.07,2.1,0.2,0.2,A8,1.0,0.2,0.2,7554.0,150.0,150.0,,,HD 201585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.004243159874453541
240,240,328,328,MASCARA-2 b/KELT-20 b,Confirmed,3.518,3.517,0.0,,,,1.83,0.07,0.07,3.4741085,1.9e-06,1.9e-06,0.0542,0.0021,0.0014,,,,86.2,0.1,0.1,,2017.0,2021-03-19,,,,,,,2457485.74965,0.0002,0.0002,,,,,,,0.6,4.0,4.0,,,,,,,,,,2230.0,70.0,60.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 185603 b, MASCARA-2 b","Ca, Cr, Fe, Fe+, H, Mg, Na",KELT-20,294.661396263,31.2192261175,7.58,,,,,,,,-0.29,0.36,0.22,2.0,0.1,0.2,1.561,0.064,0.058,A2V,0.3,0.1,0.2,8981.0,115.0,115.0,,,"SAO 68614, 2MASS J19383872+3113091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.013390033525564752
241,241,329,329,MASCARA-3 b,Confirmed,5.18,0.22,0.22,,,,1.272,0.022,0.022,5.5514926,8e-06,8e-06,0.06971,0.0096,0.0088,0.085,0.023,0.023,89.16,0.77,0.6,,2019.0,2019-09-05,41.0,20.0,14.0,2457146.6,0.22,0.17,,,,2457147.053,0.002,0.002,2457144.422,0.056,0.06,2.6,3.6,5.1,0.32,0.01,0.01,,,,403.0,11.0,11.0,1458.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 93148 b, KELT-24 b",,HD 93148,161.908333346,71.655833351,8.4,,,,,96.79,0.3,0.3,0.188,0.077,0.077,1.461,0.06,0.056,1.506,0.022,0.022,F5,0.77,0.42,0.61,6508.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002059195834714829
242,242,340,340,NGTS-5 b,Confirmed,0.229,0.037,0.037,,,,1.136,0.023,0.023,3.3569866,2.6e-06,2.6e-06,0.0382,0.0013,0.0013,0.0,,,86.6,0.2,0.2,,2019.0,2019-05-03,,,,,,,,,,2457740.35262,0.00026,0.00026,,,,,,,,,,,,,41.0,6.4,5.9,952.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-5,221.058333338,5.605277794,,,,,,309.5,2.6,2.6,0.12,0.1,0.1,0.661,0.061,0.068,0.739,0.012,0.014,K2V,,,,4987.0,41.0,41.0,,,2MASS 14441396+0536195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.09991807829525312
243,243,343,343,NGTS-8 b,Confirmed,0.93,0.04,0.04,,,,1.09,0.03,0.03,2.4997,1e-05,1e-05,0.035,0.001,0.001,0.01,0.01,0.014,86.9,0.5,0.5,,2019.0,2019-11-11,,,,,,,,,,2457500.1783,0.00072,0.00072,,,,,,,,,,,,,149.95,3.56,3.56,1345.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,NGTS-8,328.975000018,-14.068333336,13.68,,,,,434.273,5.639,5.639,0.24,0.09,0.09,0.89,0.05,0.05,0.98,0.02,0.02,KOV,12.48,3.68,3.23,5241.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015625758253596037
244,244,344,344,NGTS-9 b,Confirmed,2.9,0.17,0.17,,,,1.07,0.06,0.06,4.43527,2e-05,2e-05,0.058,0.003,0.003,0.06,0.032,0.076,84.1,0.4,0.4,,2019.0,2019-11-11,,,,,,,,,,2457671.81086,0.00265,0.00265,,,,,,,,,,,,,293.44,15.08,15.08,1448.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,NGTS-9,141.920833347,-19.34722224,12.8,,,,,619.732,15.977,15.977,0.31,0.15,0.15,1.34,0.05,0.05,1.38,0.04,0.04,F8V,0.96,0.6,0.6,6330.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002661509070389112
245,245,345,345,NLTT 41135 b,Confirmed,33.7,2.8,2.8,33.7,2.8,2.8,1.13,0.17,0.27,2.889475,2.5e-05,2.5e-05,0.024,0.001,0.001,,,,87.42,0.5,0.5,,2010.0,2018-12-11,,,,,,,,,,2455002.80232,0.00022,0.00022,,,,,,,,,,,,,13189.0,190.0,190.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NLTT 41135,236.516666668,4.691666687,18.0,,,,,22.7,0.8,0.8,0.0,,,0.188,0.022,0.026,0.21,0.016,0.016,M5.1,,,,3230.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.003604764693470263
246,246,355,355,Qatar-1 b,Confirmed,1.294,0.049,0.05,,,,1.143,0.025,0.026,1.42002504,7.1e-07,7.1e-07,0.02332,0.00032,0.0004,0.0,,,84.08,0.15,0.16,,2010.0,2018-08-15,,,,,,,,,,2456234.103218,6e-06,6e-06,,,,351.6,7.1,7.1,0.645,0.011,0.01,,,,261.6,5.5,5.5,,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-1,303.3833333,65.1619444,12.84,,,,10.4,187.0,0.5,0.5,0.171,0.094,0.097,0.838,0.016,0.016,0.803,0.01,0.01,K,,,,5013.0,88.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.02045823016368291
247,247,356,356,Qatar-10 b,Confirmed,0.736,0.09,0.09,,,,1.534,0.4,0.4,1.645321,1e-05,1e-05,0.0286,0.0006,0.0006,0.0,,,85.87,0.96,0.96,,2019.0,2019-03-25,,,,,,,,,,2458247.90746,0.00036,0.00036,,,,,,,0.379,0.055,0.055,,,,114.0,13.0,13.0,1955.0,25.0,25.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-10,284.445833349,69.570833348,12.8,,,,,539.0,10.0,10.0,0.016,0.089,0.089,1.156,0.068,0.068,1.254,0.026,0.026,F7V,3.2,1.9,1.9,6124.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.04914820454040087
248,248,357,357,Qatar-2 b,Confirmed,2.494,0.054,0.054,,,,1.254,0.013,0.013,1.33711647,2.6e-07,2.6e-07,0.02153,0.0002,0.0002,0.0,,,86.12,0.08,0.08,,2011.0,2021-02-05,,,,,,,2455624.267096,8.7e-05,8.7e-05,2455624.26679,0.00011,0.00011,,,,15.0,20.0,20.0,,,,,,,558.7,5.9,5.9,1344.0,14.0,14.0,,,,,,,Announced on a professional conference,Primary Transit,,,"2MASS J13503740-0648145 b, EPIC 212756297.01, GSC 04974-00112 b, WISE J135037.33-064814.5  b",,Qatar-2,207.655866,-6.804028,13.3,,11.35,10.794,,182.32,1.21,1.21,0.02,0.08,0.08,0.74,0.037,0.037,0.78,0.01,0.01,K,5.0,,,4645.0,50.0,50.0,,,"2MASS J13503740-0648145, EPIC 212756297, GSC 04974-00112, WISE J135037.33-064814.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014119570672398263
249,249,358,358,Qatar-3 b,Confirmed,4.31,0.47,0.47,,,,1.096,0.14,0.14,2.5079204,9.9e-06,9.9e-06,0.03783,0.00069,0.00069,,,,86.8,2.0,2.0,,2016.0,2018-08-13,,,,,,,,,,2457302.453004,0.0001,0.0001,,,,,,,0.35,0.22,0.22,,,,587.0,58.0,58.0,1681.0,,,84.0,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-3,359.150000012,36.21305557,12.88,,,,,,,,-0.041,0.081,0.081,1.145,0.064,0.064,1.272,0.14,0.14,G0V,0.31,0.001,0.001,6007.0,52.0,52.0,,,UCAC3 253-304972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002555446060275942
250,250,359,359,Qatar-4 b,Confirmed,5.85,0.47,0.47,,,,1.552,0.057,0.057,1.8053949,9.9e-06,9.9e-06,0.02861,0.00048,0.00048,,,,88.82,1.2,1.2,,2016.0,2016-09-18,,,,,,,,,,2457323.65441,0.00098,0.00098,,,,,,,0.114,0.11,0.11,,,,1004.0,71.0,71.0,1570.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-4,4.858333342,44.027500009,13.6,,,,,,,,0.103,0.081,0.081,0.896,0.063,0.063,0.849,0.063,0.063,K,0.17,0.01,0.01,5215.0,50.0,50.0,,,UCAC3 269-003518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.009787159476442873
251,251,360,360,Qatar-5 b,Confirmed,4.32,0.18,0.18,,,,1.107,0.064,0.064,2.8792319,9.9e-06,9.9e-06,0.04127,0.0067,0.0067,,,,88.74,0.87,0.87,,2016.0,2016-09-18,,,,,,,,,,2457336.75824,9.8e-05,9.8e-05,,,,,,,0.18,0.16,0.16,,,,568.0,15.0,15.0,1415.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-5,7.054166671,42.061388899,12.82,,,,,,,,0.377,0.08,0.08,1.128,0.056,0.056,1.076,0.051,0.051,G2V,0.53,0.004,0.004,5747.0,49.0,49.0,,,UCAC3 265-004681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.003092916556068613
252,252,361,361,Qatar-6 A b,Confirmed,0.668,0.066,0.066,,,,1.062,0.07,0.07,3.506189,2e-05,2e-05,0.0423,0.0004,0.0004,0.0,,,86.01,0.14,0.14,,2017.0,2019-12-02,,,,,,,,,,2457784.0327,0.00049,0.00049,,,,,,,0.878,0.016,0.016,,,,101.6,9.6,9.6,1006.0,18.0,18.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,Qatar-6 b,,Qatar-6 A,222.20833335,22.152500005,11.4,,,,,101.0,6.0,6.0,-0.025,0.093,0.093,0.822,0.021,0.021,0.722,0.02,0.02,K2V,1.0,0.5,0.5,5052.0,66.0,66.0,,,Qatar-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0278989578913827
253,253,362,362,Qatar-7 b,Confirmed,1.88,0.25,0.25,,,,1.7,0.03,0.03,2.032046,1e-05,1e-05,0.0352,0.0002,0.0002,0.0,,,89.0,1.0,1.0,,2018.0,2018-12-18,,,,,,,,,,2458043.32067,0.00023,0.00023,,,,,,,0.08,0.08,0.08,,,,239.0,32.0,32.0,2053.0,15.0,15.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-7,358.516666668,37.021944449,13.0,,,,,725.0,10.0,10.0,0.276,0.071,0.071,1.409,0.026,0.026,1.564,0.021,0.021,F4V,1.0,0.5,0.5,6387.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.017675141855176
254,254,363,363,Qatar-8 b,Confirmed,0.371,0.062,0.062,,,,1.285,0.022,0.022,3.71495,0.001,0.001,0.0474,0.0008,0.0008,0.0,,,89.29,0.7,0.7,,2019.0,2019-03-25,,,,,,,,,,,,,2458210.8398,0.00085,0.00085,,,,0.096,0.093,0.093,,,,47.7,8.0,8.0,1457.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-8,157.412500013,70.527222241,11.5,,,,,276.7,3.4,3.4,0.025,0.07,0.07,1.029,0.051,0.051,1.315,0.02,0.02,GOV,8.3,2.1,2.1,5687.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.038498555380732324
