,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge
215,303,303,Kepler-7 b,Confirmed,0.441,0.042,0.043,,,,1.622,0.013,0.013,4.8854892,9e-07,9e-07,0.06067,0.00059,0.00059,0.1,0.1,0.1,85.161,0.054,0.055,,2009.0,2021-02-05,357.1,2.8,2.8,,,,2454967.27687,2e-05,3e-05,2454967.27599,0.0002,0.0002,,,,,,,0.5599,0.0046,0.0045,,,,42.9,3.5,3.5,1630.0,10.0,10.0,,,0.32,0.03,0.03,,Published in a refereed paper,Primary Transit,,,"2MASS J19141956+4105233 b, K00097.01, KIC 5780885 b, KOI-97 b, KOI-97.01, WISE J191419.55+410523.1  b",,Kepler-7,288.581516,41.0898,,,11.833,11.601,,947.46,21.11,21.11,0.11,0.03,0.03,1.36,0.03,0.03,1.97,0.01,0.01,,3.5,1.0,1.0,5933.0,44.0,44.0,,,"2MASS J19141956+4105233, KIC 5780885, KOI-97, WISE J191419.55+410523.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
216,304,304,Kepler-702 b,Confirmed,,,,,,,0.818,0.052,0.075,10.52629406,1.9e-06,1.9e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455009.522503,0.000142,0.000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19353074+4139423 b, K00850.01, KIC 6291653 b, KOI-850 b, KOI-850.01, WISE J193530.73+413942.3 b",,Kepler-702,293.878112,41.66177,,,13.968,13.532,13.492,892.0,,,0.0,0.161,0.143,0.9,0.05,0.05,0.86,0.05,0.08,,4.47,-2.78,5.65,5419.0,143.8,122.25,,,"2MASS J19353074+4139423, KIC 6291653, KOI-850, WISE J193530.73+413942.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
217,305,305,Kepler-703 b,Confirmed,,,,,,,0.732,0.124,0.331,4.58352176,1.73e-06,1.73e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455002.973823,0.000301,0.000301,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19564484+4144336 b, K00851.01, KIC 6392727 b, KOI-851 b, KOI-851.01, WISE J195644.84+414433.7 b",,Kepler-703,299.186861,41.742682,,,13.981,13.644,13.62,1482.0,,,0.05,0.147,0.139,1.18,0.12,0.2,1.27,0.21,0.57,,2.69,-0.938,1.3,6185.0,248.39,197.61,,,"2MASS J19564484+4144336, KIC 6392727, KOI-851, WISE J195644.84+414433.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
218,306,306,Kepler-714 b,Confirmed,,,,,,,0.863,0.09,0.222,8.09888799,2.19e-06,2.19e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455009.623889,0.000218,0.000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18504788+4316218 b, K00890.01, KIC 7585481 b, KOI-890 b, KOI-890.01, WISE J185047.87+431621.9 b",,Kepler-714,282.699531,43.272743,,,14.164,13.875,13.825,1460.0,,,0.04,0.157,0.139,1.09,0.07,0.08,1.12,0.12,0.29,,3.55,-1.81,1.77,5995.0,117.06,106.7,,,"2MASS J18504788+4316218, KIC 7585481, KOI-890, WISE J185047.87+431621.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
219,307,307,Kepler-718 b,Confirmed,,,,,,,1.477,0.278,0.622,2.0523499,1.5e-07,1.5e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455002.890629,5.8e-05,5.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19581485+4330128 b, K00897.01, KIC 7849854 b, KOI-897 b, KOI-897.01, WISE J195814.84+433012.6 b",,Kepler-718,299.561877,43.503559,,,14.005,13.679,13.604,1520.0,,,0.06,0.135,0.135,1.18,0.14,0.23,1.3,0.24,0.55,,2.57,-0.876,1.84,6191.0,307.12,307.31,,,"2MASS J19581485+4330128, KIC 7849854, KOI-897, WISE J195814.84+433012.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
220,308,308,Kepler-719 b,Confirmed,,,,,,,0.76,0.08,0.163,5.00731778,1.25e-06,1.25e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455006.433852,0.000198,0.000198,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19420867+4353040 b, K00903.01, KIC 8039892 b, KOI-903 b, KOI-903.01, WISE J194208.70+435303.9 b",,Kepler-719,295.536136,43.884453,,,14.572,14.207,14.126,1427.0,,,-0.02,0.176,0.135,0.99,0.07,0.08,0.98,0.1,0.21,,3.98,-2.23,3.54,5777.0,220.79,199.43,,,"2MASS J19420867+4353040, KIC 8039892, KOI-903, WISE J194208.70+435303.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
221,309,309,Kepler-720 b,Confirmed,,,,,,,0.75,0.071,0.144,4.70832654,7.3e-07,7.3e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455004.44652,0.000125,0.000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19543255+4410153 b, K00908.01, KIC 8255887 b, KOI-908 b, KOI-908.01, WISE J195432.54+441015.3 b",,Kepler-720,298.635649,44.170944,,,13.785,13.39,13.243,880.0,,,0.0,0.177,0.144,0.95,0.07,0.11,0.92,0.09,0.18,,3.63,-1.94,3.8,5618.0,250.53,328.49,,,"2MASS J19543255+4410153, KIC 8255887, KOI-908, WISE J195432.54+441015.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
222,310,310,Kepler-723 b,Confirmed,,,,,,,1.088,0.07,0.141,4.08227507,2.3e-07,2.3e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455002.637529,4.6e-05,4.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18591931+4439293 b, K00913.01, KIC 8544996 b, KOI-913 b, KOI-913.01, WISE J185919.31+443929.3 b",,Kepler-723,284.830468,44.658142,,,13.949,13.593,13.499,965.0,,,0.0,0.178,0.136,0.92,0.05,0.04,0.89,0.06,0.12,,4.57,-2.87,5.7,5539.0,85.21,75.49,,,"2MASS J18591931+4439293, KIC 8544996, KOI-913, WISE J185919.31+443929.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
223,311,311,Kepler-730 b,Confirmed,,,,,,,1.1,0.05,0.047,6.49168281,,,0.0694,0.0012,0.0016,,,,86.96,0.31,0.37,,2016.0,2021-02-05,,,,,,,2455007.633553,,,2455007.633553,,,,,,,,,0.561,0.05,0.038,,,,,,,1219.0,22.0,22.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19021315+4534438 b, K00929.01, KIC 9141746 b, KOI-929 b, KOI-929.01, WISE J190213.15+453443.7 b",,Kepler-730,285.554804,45.578857,,,14.471,14.182,14.102,2020.2,81.62,77.54,0.21,0.014,0.014,1.05,0.05,0.07,1.41,0.05,0.05,,9.5,-2.7,2.5,5620.0,59.0,55.0,,,"2MASS J19021315+4534438, KIC 9141746, KOI-929, WISE J190213.15+453443.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
224,312,312,Kepler-731 b,Confirmed,,,,,,,1.238,0.136,0.284,3.85560355,2.9e-07,2.9e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455003.678886,6.1e-05,6.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19453436+4534068 b, K00931.01, KIC 9166862 b, KOI-931 b, KOI-931.01",,Kepler-731,296.393174,45.568558,,,14.126,13.762,13.775,1311.0,,,0.04,0.154,0.132,1.03,0.06,0.09,1.06,0.12,0.24,,3.8,-2.05,3.08,5849.0,139.51,200.38,,,"2MASS J19453436+4534068, KIC 9166862, KOI-931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
225,313,313,Kepler-74 b,Confirmed,0.63,0.12,0.12,,,,0.96,0.02,0.02,7.340711,6e-06,6e-06,0.0781,0.0007,0.0007,0.0,,,87.46,0.07,0.07,,2013.0,2021-02-05,64.0,21.0,21.0,2454967.04,0.21,0.34,2455187.56737,0.00014,0.00014,2454967.3453,0.0003,0.0003,,,,,,,0.685,0.011,0.011,,,,59.0,11.0,11.0,1078.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-200 b, 2MASS J19322220+4121198 b, K00200.01, KIC 6046540 b, KOI-200.01, WISE J193222.20+412119.7  b",,Kepler-74,293.092525,41.355523,14.23,,13.306,13.008,,1218.33,30.24,30.24,0.42,0.11,0.11,1.18,0.04,0.04,1.12,0.04,0.04,F8 V,0.8,-0.5,0.9,6000.0,100.0,100.0,,,"2MASS J19322220+4121198, KIC 6046540, KOI-200, WISE J193222.20+412119.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
226,314,314,Kepler-75 b,Confirmed,10.1,0.4,0.4,,,,1.05,0.03,0.03,8.8849116,3.4e-06,3.4e-06,0.0818,0.0012,0.0012,0.57,0.01,0.01,89.12,0.64,0.51,,2013.0,2021-02-05,63.5,1.7,1.7,2455002.841,0.011,0.011,2455640.4403,0.00012,0.00012,2455002.991,0.0002,0.0002,,,,,,,0.13,0.08,0.09,,,,1287.0,25.0,25.0,767.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,,,"KOI-889 b, 2MASS J19243302+3634385 b, K00889.01, KIC 757450 b, KOI-889.01, WISE J192433.02+363438.3 b",,Kepler-75,291.137593,36.577386,15.0,,13.665,13.262,,855.5,19.1,19.1,0.3,0.12,0.12,0.91,0.04,0.04,0.89,0.02,0.02,K0 V,6.2,-2.8,3.5,5200.0,100.0,100.0,,,"2MASS J19243302+3634385, KIC 757450, KOI-889, WISE J192433.02+363438.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
227,315,315,Kepler-76 b,Confirmed,2.01,0.35,0.37,,,,1.36,0.12,0.12,1.5449298,4e-07,4e-07,0.0274,0.0019,0.002,,,,77.55,0.17,0.2,,2013.0,2021-02-05,,,,,,,2454966.54841,2e-05,1e-05,2454966.54811,7e-05,7e-05,,,,,,,0.9623,0.0049,0.004,,,,306.0,20.0,20.0,2140.0,40.0,40.0,,,,,,,Published in a refereed paper,Default,,,"2MASS J19364610+3937084 b, K01658.01, KIC 4570949 b, KOI-1658 b, KOI-1658.01, WISE J193646.10+393708.3  b",,Kepler-76,294.192118,39.619003,14.0,,12.343,12.134,,842.87,10.73,10.73,-0.1,0.2,0.2,1.2,0.2,0.2,1.32,0.08,0.08,F,,,,6409.0,95.0,95.0,,,"2MASS J19364610+3937084, KIC 4570949, KOI-1658, WISE J193646.10+393708.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
228,316,316,Kepler-762 b,Confirmed,,,,,,,1.131,0.112,0.236,3.7705521,9.4e-07,9.4e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455190.118242,0.000176,0.000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19250615+4719461 b, K01074.01, KIC 10272640 b, KOI-1074 b, KOI-1074.01, WISE J192506.15+471946.2 b",,Kepler-762,291.275634,47.329491,,,14.275,13.963,13.969,1465.0,,,0.02,0.162,0.139,1.06,0.06,0.07,1.08,0.11,0.23,,3.8,-2.04,2.18,5944.0,123.9,98.94,,,"2MASS J19250615+4719461, KIC 10272640, KOI-1074, WISE J192506.15+471946.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
229,317,317,Kepler-77 b,Confirmed,0.43,0.032,0.032,,,,0.96,0.016,0.016,3.57878087,2.3e-07,2.3e-07,0.04501,0.00063,0.00063,0.0,,,88.0,0.11,0.11,,2013.0,2021-02-05,,,,,,,2455095.865727,2.9e-05,2.9e-05,2455095.865727,2.9e-05,2.9e-05,,,,,,,0.341,0.017,0.017,,,,59.2,4.3,4.3,1440.0,120.0,100.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19182590+4420435 b, K00127.01, KIC 8359498 b, KOI-127 b, KOI-127.01, WISE J191825.91+442043.5  b",,Kepler-77,289.607956,44.345425,15.0,,12.758,12.444,,570.0,70.0,70.0,0.2,0.05,0.05,0.95,0.04,0.04,0.99,0.02,0.02,G5 V,7.5,2.0,2.0,5520.0,60.0,60.0,,,"2MASS J19182590+4420435, KIC 8359498, KOI-127, WISE J191825.91+442043.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
230,318,318,Kepler-785 b,Confirmed,,,,,,,1.162,0.047,0.039,1.97376093,1e-07,1e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455011.689372,4e-05,4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19281639+3850321 b, K01176.01, KIC 3749365 b, KOI-1176 b, KOI-1176.01, WISE J192816.35+385032.0 b",,Kepler-785,292.068304,38.842261,,,14.079,13.55,13.381,666.0,,,-0.02,0.133,0.131,0.77,0.04,0.03,0.71,0.03,0.02,,2.82,-1.29,4.7,4739.0,69.98,115.49,,,"2MASS J19281639+3850321, KIC 3749365, KOI-1176, WISE J192816.35+385032.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
231,319,319,Kepler-8 b,Confirmed,0.59,0.12,0.13,,,,1.416,0.062,0.053,3.5224991,7e-07,7e-07,0.0474,0.0021,0.0018,0.0,,,83.978,0.033,0.036,3.6e-05,2010.0,2021-02-05,,,,,,,2454954.11931,2e-05,2e-05,2454954.1182,0.0004,0.0004,,,,,,,0.7191,0.0023,0.0021,,,,68.4,12.0,12.0,1680.0,40.0,40.0,,,0.11,0.03,0.03,,Announced on a professional conference,Primary Transit,,,"2MASS J18450914+4227038 b, K00010.01, KIC 6922244 b, KOI-10 b, KOI-10.01, WISE J184509.14+422703.9  b",,Kepler-8,281.288118,42.45108,13.9,,12.576,12.324,,1052.9,15.36,15.36,-0.055,0.03,0.03,1.21,0.06,0.07,1.49,0.06,0.05,,3.84,1.5,1.5,6213.0,150.0,150.0,,,"2MASS J18450914+4227038, KIC 6922244, KOI-10, WISE J184509.14+422703.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
232,320,320,Kepler-816 b,Confirmed,,,,,,,0.914,0.048,0.061,10.50682565,3.82e-06,3.82e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455193.082546,0.000262,0.000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19332708+3912448 b, K01320.01, KIC 4164994 b, KOI-1320 b, KOI-1320.01",,Kepler-816,293.362842,39.212452,,,14.426,14.045,13.892,1059.0,,,0.16,0.185,0.16,0.9,0.04,0.04,0.85,0.04,0.06,,4.17,-2.54,5.51,5286.0,88.41,54.61,,,"2MASS J19332708+3912448, KIC 4164994, KOI-1320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
233,321,321,Kepler-817 b,Confirmed,,,,,,,0.806,0.101,0.184,3.99010623,1.36e-06,1.36e-06,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2455188.840733,0.000245,0.000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19441964+3909418 b, K01323.01, KIC 4076098 b, KOI-1323 b, KOI-1323.01",,Kepler-817,296.081856,39.161617,,,14.386,14.025,13.954,1401.0,,,0.02,0.161,0.139,1.03,0.08,0.12,1.03,0.12,0.23,,3.55,-1.87,2.9,5861.0,241.24,259.88,,,"2MASS J19441964+3909418, KIC 4076098, KOI-1323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
234,322,322,Kepler-840 b,Confirmed,,,,,,,1.523,0.168,0.346,2.49577962,4.8e-07,4.8e-07,,,,,,,,,,,2016.0,2021-02-05,,,,,,,2454968.337166,0.00016,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19460177+4927262 b, K01416.01, KIC 11517719 b, KOI-1416 b, KOI-1416.01, WISE J194601.77+492726.1 b",,Kepler-840,296.507394,49.457291,,,12.996,12.682,12.6,778.0,,,0.0,0.176,0.136,1.04,0.07,0.07,1.06,0.12,0.24,,3.89,-2.18,2.49,5920.0,159.58,113.64,,,"2MASS J19460177+4927262, KIC 11517719, KOI-1416, WISE J194601.77+492726.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
